MH,logAge,Mini,Mass,logL,logTe,logg,label,mbolmag,Gmag,G_BPmag,G_RPmag,logR
0.0,10.0,1.0036079884,1.003,0.379,3.7497,4.011,2,3.822,3.714,4.071,3.188,0.2141842801617757
0.0,10.0,1.0078623295,1.007,0.391,3.7403,3.964,2,3.794,3.696,4.072,3.151,0.2385485489283757
0.0,10.0,1.0107438564,1.01,0.391,3.7297,3.922,2,3.792,3.712,4.11,3.144,0.2601945005428879
0.0,10.0,1.0127197504,1.011,0.391,3.7197,3.883,2,3.793,3.731,4.152,3.141,0.27990939144706717
0.0,10.0,1.0145745277,1.013,0.402,3.71,3.834,2,3.765,3.725,4.167,3.114,0.3048385363317069
0.0,10.0,1.0164014101,1.015,0.433,3.702,3.771,2,3.688,3.667,4.129,3.039,0.33676683477618263
0.0,10.0,1.0173947811,1.016,0.458,3.6985,3.733,2,3.626,3.614,4.085,2.978,0.3559806676255169
0.0,10.0,1.0188294649,1.017,0.509,3.6951,3.669,3,3.498,3.496,3.975,2.853,0.38819429011293893
0.0,10.0,1.0200765133,1.019,0.56,3.6928,3.609,3,3.37,3.375,3.859,2.727,0.4186209056547799
0.0,10.0,1.0209747553,1.019,0.601,3.6915,3.563,3,3.266,3.275,3.762,2.625,0.44162090565477974
0.0,10.0,1.0218374729,1.02,0.645,3.6903,3.515,3,3.158,3.17,3.66,2.518,0.4658338995325254
0.0,10.0,1.0226486921,1.021,0.689,3.6892,3.467,3,3.049,3.064,3.556,2.409,0.4900466846950217
0.0,10.0,1.023404479,1.022,0.733,3.6881,3.419,3,2.939,2.958,3.453,2.3,0.5142592615509136
0.0,10.0,1.0240519047,1.022,0.773,3.6871,3.374,3,2.837,2.859,3.357,2.199,0.5367592615509136
0.0,10.0,1.024668932,1.023,0.815,3.686,3.328,3,2.732,2.757,3.258,2.095,0.5599716305076469
0.0,10.0,1.0252929926,1.024,0.861,3.6847,3.278,3,2.617,2.646,3.151,1.981,0.5851837919714726
0.0,10.0,1.0258209705,1.024,0.903,3.6834,3.231,3,2.512,2.546,3.053,1.877,0.6086837919714727
0.0,10.0,1.0262933969,1.024,0.944,3.6822,3.185,3,2.411,2.448,2.959,1.777,0.6316837919714726
0.0,10.0,1.0267322063,1.025,0.984,3.6809,3.14,3,2.31,2.352,2.866,1.677,0.6543957463474531
0.0,10.0,1.0271664858,1.025,1.027,3.6793,3.091,3,2.201,2.248,2.767,1.57,0.6788957463474531
0.0,10.0,1.0276389122,1.026,1.079,3.6774,3.031,3,2.072,2.125,2.65,1.443,0.7091074940394654
0.0,10.0,1.0279848576,1.026,1.121,3.6757,2.983,3,1.967,2.026,2.556,1.34,0.7331074940394654
0.0,10.0,1.0282899141,1.026,1.161,3.6741,2.937,3,1.868,1.933,2.467,1.243,0.7561074940394655
0.0,10.0,1.0285718441,1.026,1.2,3.6724,2.891,3,1.77,1.841,2.379,1.147,0.7791074940394654
0.0,10.0,1.0289107561,1.027,1.252,3.6701,2.83,3,1.64,1.719,2.263,1.02,0.8098190354502057
0.0,10.0,1.0292109251,1.027,1.302,3.6678,2.77,3,1.515,1.602,2.154,0.898,0.8398190354502058
0.0,10.0,1.0294859409,1.027,1.352,3.6654,2.711,3,1.39,1.486,2.044,0.777,0.8693190354502058
0.0,10.0,1.0297415257,1.027,1.402,3.6629,2.651,3,1.264,1.371,1.936,0.655,0.8993190354502059
0.0,10.0,1.0299755335,1.027,1.45,3.6604,2.593,3,1.145,1.261,1.833,0.54,0.9283190354502058
0.0,10.0,1.0302153826,1.027,1.495,3.6581,2.539,3,1.033,1.159,1.737,0.432,0.9553190354502057
0.0,10.0,1.0304607153,1.027,1.529,3.6564,2.498,3,0.947,1.079,1.663,0.349,0.9758190354502055
0.0,10.0,1.030646801,1.027,1.5,3.6584,2.535,3,1.02,1.144,1.722,0.419,0.9573190354502057
0.0,10.0,1.0307711363,1.027,1.459,3.661,2.586,3,1.122,1.235,1.805,0.516,0.9318190354502058
0.0,10.0,1.0307816267,1.027,1.457,3.6612,2.59,3,1.128,1.241,1.811,0.522,0.9298190354502059
0.0,10.0,1.0309553146,1.027,1.503,3.6586,2.534,3,1.013,1.136,1.713,0.411,0.9578190354502059
0.0,10.0,1.0311336517,1.028,1.55,3.656,2.475,3,0.894,1.028,1.614,0.297,0.9875303709811951
0.0,10.0,1.031304121,1.028,1.598,3.6532,2.417,3,0.774,0.919,1.515,0.181,1.0165303709811953
0.0,10.0,1.0314571857,1.028,1.645,3.6506,2.359,3,0.658,0.814,1.419,0.069,1.0455303709811952
0.0,10.0,1.0316026211,1.027,1.692,3.6477,2.3,3,0.539,0.708,1.324,-0.045,1.0748190354502059
0.0,10.0,1.0317305326,1.027,1.738,3.645,2.244,3,0.425,0.607,1.233,-0.154,1.1028190354502057
0.0,10.0,1.0318506956,1.027,1.784,3.6421,2.186,3,0.309,0.504,1.141,-0.264,1.1318190354502058
0.0,10.0,1.0319590569,1.027,1.83,3.6392,2.129,3,0.195,0.404,1.052,-0.373,1.1603190354502058
0.0,10.0,1.032058239,1.027,1.875,3.6364,2.072,3,0.082,0.306,0.966,-0.479,1.1888190354502057
0.0,10.0,1.0321513414,1.027,1.921,3.6334,2.014,3,-0.032,0.207,0.879,-0.586,1.2178190354502059
